id,agent,user,user_id,repo_id,html_url,api_url,status,http_status,additions,deletions,changed_files,commits,author_association,draft,maintainer_can_modify,github_merged,github_state,rate_limit_remaining,rate_limit_reset,fetched_at,error
3147238673,OpenAI_Codex,catatsuy,1249910,50724711,https://github.com/catatsuy/private-isu/pull/673,https://api.github.com/repos/catatsuy/private-isu/pulls/673,ok,200,23,4,3,1,OWNER,False,False,True,closed,4334,1780523753,2026-06-03T21:14:37.148162+00:00,
3085685255,OpenAI_Codex,toyamarinyon,535254,845317529,https://github.com/giselles-ai/giselle/pull/945,https://api.github.com/repos/giselles-ai/giselle/pulls/945,ok,200,15,14,1,2,CONTRIBUTOR,True,False,False,closed,4333,1780523753,2026-06-03T21:14:38.160763+00:00,
3165423448,OpenAI_Codex,mldangelo,7235481,633927609,https://github.com/promptfoo/promptfoo/pull/4591,https://api.github.com/repos/promptfoo/promptfoo/pulls/4591,ok,200,87,1,2,8,MEMBER,False,False,True,closed,4332,1780523753,2026-06-03T21:14:39.714680+00:00,
3085487490,OpenAI_Codex,Keno,1291671,1644196,https://github.com/JuliaLang/julia/pull/58506,https://api.github.com/repos/JuliaLang/julia/pulls/58506,ok,200,406,324,9,3,MEMBER,False,False,True,closed,4331,1780523753,2026-06-03T21:14:41.055259+00:00,
3192327842,Cursor,mattpocock,28293365,797216527,https://github.com/mattpocock/total-typescript-monorepo/pull/294,https://api.github.com/repos/mattpocock/total-typescript-monorepo/pulls/294,ok,200,433,39,4,2,OWNER,False,False,True,closed,4330,1780523753,2026-06-03T21:14:42.354414+00:00,
3176467463,Cursor,jerry-enebeli,16512586,578931427,https://github.com/blnkfinance/blnk/pull/165,https://api.github.com/repos/blnkfinance/blnk/pulls/165,ok,200,38,6,3,3,COLLABORATOR,False,False,True,closed,4329,1780523753,2026-06-03T21:14:43.430545+00:00,
3162886027,OpenAI_Codex,ilyabo,351828,750789159,https://github.com/sqlrooms/sqlrooms/pull/77,https://api.github.com/repos/sqlrooms/sqlrooms/pulls/77,ok,200,129,15,7,2,COLLABORATOR,False,False,False,closed,4328,1780523753,2026-06-03T21:14:45.351291+00:00,
3077313880,OpenAI_Codex,creatorrr,931887,781914762,https://github.com/julep-ai/julep/pull/1425,https://api.github.com/repos/julep-ai/julep/pulls/1425,ok,200,53,1,5,1,CONTRIBUTOR,True,False,False,open,4327,1780523753,2026-06-03T21:14:46.417044+00:00,
3123553761,OpenAI_Codex,stephanos,159852,215654064,https://github.com/temporalio/temporal/pull/7871,https://api.github.com/repos/temporalio/temporal/pulls/7871,ok,200,79,16,2,1,CONTRIBUTOR,False,False,True,closed,4326,1780523753,2026-06-03T21:14:47.491802+00:00,
3165874296,Cursor,scopsy,8872447,400215964,https://github.com/novuhq/novu/pull/8565,https://api.github.com/repos/novuhq/novu/pulls/8565,ok,200,39,6,3,2,CONTRIBUTOR,False,False,True,closed,4325,1780523753,2026-06-03T21:14:48.827714+00:00,
3070995863,OpenAI_Codex,alexziskind1,1638579,942682510,https://github.com/alexziskind1/llm-inference-calculator/pull/24,https://api.github.com/repos/alexziskind1/llm-inference-calculator/pulls/24,ok,200,1,1,1,1,OWNER,False,False,True,closed,4324,1780523753,2026-06-03T21:14:50.260935+00:00,
3111588611,OpenAI_Codex,eplatonoff,39589028,214868921,https://github.com/eplatonoff/pilorama/pull/80,https://api.github.com/repos/some-humans/pilorama-desktop/pulls/80,ok,200,2,2,2,1,MEMBER,False,False,True,closed,4322,1780523753,2026-06-03T21:14:52.098845+00:00,
3119318984,OpenAI_Codex,joewandy,2523391,69615317,https://github.com/joewandy/hlda/pull/44,https://api.github.com/repos/joewandy/hlda/pulls/44,ok,200,47,0,1,1,OWNER,False,False,True,closed,4321,1780523753,2026-06-03T21:14:53.032380+00:00,
