pr_id,agent,n_discussion_items,vader_mean,textblob_mean,senticr_negative_share,merged,repo_id,log_discussion_items
3213015867.0,Copilot,1,0.5106,0.4166666666666667,0.0,1,41881900,0.6931471805599453
3213044317.0,Copilot,3,0.0,0.09523809523809523,0.3333333333333333,1,999686447,1.3862943611198906
3213048977.0,Copilot,5,-0.00516,-0.04,0.2,0,15730865,1.791759469228055
3213060128.0,Cursor,3,0.0,0.0,0.0,0,525592995,1.3862943611198906
3213063461.0,Copilot,6,0.5728166666666666,0.2753205128205128,0.16666666666666666,1,4454793,1.9459101490553132
3213092067.0,Copilot,4,-0.046900000000000004,0.19589646464646465,0.5,1,106462765,1.6094379124341003
3213265669.0,Devin,3,-0.3234666666666667,0.016666666666666666,0.0,1,352436122,1.3862943611198906
3213281518.0,Cursor,1,0.4019,0.25,0.0,0,873328,0.6931471805599453
3213303702.0,Copilot,2,0.36005,0.2590909090909091,0.0,0,65209477,1.0986122886681098
3213307439.0,Copilot,4,0.14002499999999998,0.03409090909090909,0.0,1,269027,1.6094379124341003
3213347355.0,Cursor,4,0.435075,0.1375,0.0,0,77726177,1.6094379124341003
3213367725.0,Copilot,2,-0.0577,0.1,0.0,1,4127088,1.0986122886681098
3213370706.0,Copilot,19,0.018236842105263152,0.04643141945773525,0.3684210526315789,0,765938063,2.995732273553991
3213624908.0,Devin,1,0.4404,0.7,0.0,1,577975610,0.6931471805599453
3213779460.0,Cursor,1,0.4404,0.7,0.0,1,820144741,0.6931471805599453
3213826108.0,Cursor,3,-0.23829999999999998,0.0,0.6666666666666666,0,165670309,1.3862943611198906
3213880763.0,OpenAI_Codex,1,0.4753,0.0,0.0,1,496005961,0.6931471805599453
3213985860.0,Cursor,2,0.3829,0.4375,0.0,1,668493044,1.0986122886681098
3214013725.0,Devin,1,-0.34,-0.8,0.0,0,283046497,0.6931471805599453
3214056294.0,Copilot,9,0.0822888888888889,0.0015404040404040388,0.0,1,967503541,2.302585092994046
3214066009.0,OpenAI_Codex,2,-0.0844,0.05,0.0,1,50623416,1.0986122886681098
3214078227.0,Copilot,8,0.004650000000000015,0.004427083333333335,0.125,1,33373292,2.1972245773362196
3214086292.0,Copilot,12,-0.37866666666666665,0.0021494708994709024,0.5833333333333334,0,33373292,2.5649493574615367
3214122373.0,Copilot,8,0.04835000000000001,0.21828327922077922,0.25,1,172703996,2.1972245773362196
3214127213.0,Copilot,12,-0.026183333333333347,0.045572916666666664,0.3333333333333333,1,93882897,2.5649493574615367
3214130284.0,Copilot,9,0.05881111111111111,0.010108024691358027,0.0,0,294546561,2.302585092994046
3214232191.0,Copilot,4,0.3518,0.2916666666666667,0.5,1,262395224,1.6094379124341003
3214340478.0,Copilot,2,0.2787,0.21666666666666667,0.0,0,22624502,1.0986122886681098
3214379713.0,Devin,2,0.36755,0.2,0.5,1,839216423,1.0986122886681098
3214443028.0,Copilot,1,-0.4767,-0.25,1.0,0,247995671,0.6931471805599453
3214477918.0,Copilot,5,-0.12858,0.08863636363636364,0.4,0,17620347,1.791759469228055
3214500412.0,Cursor,1,0.0,0.0,0.0,1,529729250,0.6931471805599453
3214536211.0,Copilot,3,0.12040000000000001,-0.05555555555555556,0.0,0,996540721,1.3862943611198906
3214543609.0,Copilot,2,-0.15445,0.0,1.0,1,769440884,1.0986122886681098
3214555104.0,Claude_Code,5,0.20916,0.09727272727272727,0.0,1,136202695,1.791759469228055
3214577978.0,Copilot,6,-0.014766666666666678,-0.024999999999999998,0.3333333333333333,0,184154668,1.9459101490553132
3214597911.0,Devin,5,0.2233,0.3281666666666667,0.0,0,350360184,1.791759469228055
3214744987.0,OpenAI_Codex,1,0.9149,0.36000000000000004,0.0,0,1663468,0.6931471805599453
3214811092.0,Copilot,12,-0.117575,0.10773809523809523,0.3333333333333333,1,17620347,2.5649493574615367
3214842792.0,Copilot,8,-0.38065,0.040340909090909094,0.0,1,17620347,2.1972245773362196
3214931015.0,Copilot,1,0.9559,0.010467980295566504,1.0,0,1014208964,0.6931471805599453
3215073469.0,Copilot,2,0.19760000000000003,0.11666666666666665,0.5,0,476642602,1.0986122886681098
3215091074.0,OpenAI_Codex,1,0.7003,0.44999999999999996,0.0,1,12968651,0.6931471805599453
3215114764.0,Copilot,1,0.7971,0.2333333333333333,0.0,0,476642602,0.6931471805599453
